Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment
"Booking Information: Contact Information: ""infermation"" is displayed instead of ""information""",QATC-978604,3963925,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 8:59 AM,02/Mar/26 8:59 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Observe ""Save this infermation for next time"" checkbox

 

*Actual Result:* ""infermation"" is displayed instead of ""information"". Please see [^Bug_40.png]

*Expected Result:* ""information"" should be displayed according to the requirements. Please see [^40.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 8:59 AM;m.mahmud;40.png;https://jira.a1qa.com/secure/attachment/2757764/40.png","02/Mar/26 8:56 AM;m.mahmud;Bug_40.png;https://jira.a1qa.com/secure/attachment/2757765/Bug_40.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsvs:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Booking Information: Contact Information: “Save this information for next time” remains unclickable when the cursor hovers over it,QATC-978602,3963923,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 8:52 AM,02/Mar/26 8:52 AM,04/Mar/26 1:57 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Hover cursor over “Save this information for next time” checkbox

 

*Actual Result:* “Save this information for next time” remains unclickable when the cursor hovers over it. Please see [^Bug_39.png]

*Expected Result:* “Save this information for next time” checkbox should be clickable to save user's data for following book according to the requirements. Please see [^39.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 8:51 AM;m.mahmud;39.png;https://jira.a1qa.com/secure/attachment/2757761/39.png","02/Mar/26 8:48 AM;m.mahmud;Bug_39.png;https://jira.a1qa.com/secure/attachment/2757762/Bug_39.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsvc:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Information: Contact Information: No distribution group displays when ""Keep me up to date on news"" is checked",QATC-978597,3963918,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 8:32 AM,02/Mar/26 8:32 AM,04/Mar/26 1:58 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Check ""Keep me up to date on news"" checkbox

 

*Actual Result:* No distribution group displays when ""Keep me up to date on news"" is checked. Please see [^Bug_38.mp4]

*Expected Result:* Distribution group should display when ""Keep me up to date on news"" checkbox is checked because user should be able to add input email to distribution group according to the requirements. Please see [^38.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 8:31 AM;m.mahmud;38.png;https://jira.a1qa.com/secure/attachment/2757755/38.png","02/Mar/26 8:28 AM;m.mahmud;Bug_38.mp4;https://jira.a1qa.com/secure/attachment/2757756/Bug_38.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsu8:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Information: Contact Information: ""Keep me up to date on news"" checked by default instead of unchecked",QATC-978595,3963916,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 8:22 AM,02/Mar/26 8:22 AM,04/Mar/26 1:29 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Observe ""Keep me up to date on news"" checkbox

 

*Actual Result:* ""Keep me up to date on news"" checked by default instead of unchecked. Please see [^Bug_37.mp4]

*Expected Result:* ""Keep me up to date on news"" checkbox should stay unchecked by default according to the requirements. Please see [^37.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 8:22 AM;m.mahmud;37.png;https://jira.a1qa.com/secure/attachment/2757752/37.png","02/Mar/26 8:22 AM;m.mahmud;Bug_37.mp4;https://jira.a1qa.com/secure/attachment/2757753/Bug_37.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsts:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Information: Contact Information: Unfilled ""Email"" displays ""Please fill out this field."" instead of ""Valid email is required."" ",QATC-978591,3963912,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 8:14 AM,02/Mar/26 8:14 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Leave the ""Email"" field empty

 

*Actual Result:* Unfilled ""Email"" displays ""Please fill out this field."" instead of ""Valid email is required."". Please see [^Bug_36.png]

*Expected Result:* ""Valid email is required."" should display as error message according to the requirements. Please see [^36.png]

 

*Additional Information:* This issue is reproduced in all pages.","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 8:13 AM;m.mahmud;36.png;https://jira.a1qa.com/secure/attachment/2757747/36.png","02/Mar/26 8:13 AM;m.mahmud;Bug_36.png;https://jira.a1qa.com/secure/attachment/2757748/Bug_36.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpssw:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Book Information: Contact Information: “Email” field accepts input when alphanumeric characters are entered,QATC-978586,3963906,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 7:54 AM,02/Mar/26 7:54 AM,04/Mar/26 1:30 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of any sessions
 # Click ""Book"" button
 # Input email containing alphanumeric characters

 

*Actual Result:* “Email” field accepts input when alphanumeric characters are entered. Please see [^Bug_35.mp4]

*Expected Result:* “Email” field should not accept input when alphanumeric characters are entered according to the requirements. Please see [^35.png]

*Additional Information:* This issue is reproduced in all fields.","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 7:51 AM;m.mahmud;35.png;https://jira.a1qa.com/secure/attachment/2757741/35.png","02/Mar/26 7:50 AM;m.mahmud;Bug_35.mp4;https://jira.a1qa.com/secure/attachment/2757742/Bug_35.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsrk:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Standard Session: Additional Subjects: 7 values is displayed instead of 10 values,QATC-978579,3963898,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 7:28 AM,02/Mar/26 7:28 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of Standard Session
 # Click ""Additional Subjects"" dropdown
 # Observe the values

 

*Actual Result:* 7 values is displayed instead of 10 values. Please see [^Bug_34.png]

*Expected Result:* Additional subjects dropdown should have 10 values + none according to the requirements. Please see [^34.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 7:27 AM;m.mahmud;34.png;https://jira.a1qa.com/secure/attachment/2757733/34.png","02/Mar/26 7:26 AM;m.mahmud;Bug_34.png;https://jira.a1qa.com/secure/attachment/2757734/Bug_34.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsps:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Session: Standard Session: Start price ""$250.00 USD"" is displayed instead of ""$650 USD""",QATC-978575,3963894,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 7:18 AM,02/Mar/26 7:18 AM,04/Mar/26 1:57 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of Standard Session
 # Observe the start price

 

*Actual Result:* Start price ""$250.00 USD"" is displayed instead of ""$650 USD"". Please see [^Bug_33.png]

*Expected Result:* Start price ""$650 USD"" should be displayed according to the requirements. Please see [^33.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 7:18 AM;m.mahmud;33.png;https://jira.a1qa.com/secure/attachment/2757728/33.png","02/Mar/26 7:14 AM;m.mahmud;Bug_33.png;https://jira.a1qa.com/secure/attachment/2757729/Bug_33.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsow:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Session Information: Mini Studio Session: Total price displays $300 USD instead of $305 USD ,QATC-978554,3963872,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 5:52 AM,02/Mar/26 5:52 AM,04/Mar/26 12:47 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Select ""Book now"" button of Mini Studio Session
 # Select value ""1"" from Additional subjects dropdown
 # Click ""Book"" button
 # Observe the total price

 

*Actual Result:*  Total price displays $300 USD instead of $305 USD. Please see [^Bug_32.mp4]

*Expected Result:* Total price should display $305 USD as additional subjects: $55  according to the requirements. Please see [^32.png]


*Additional Information:* This issue is reproduced in all values of Additional subjects dropdown expect for ""None"".","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 5:51 AM;m.mahmud;32.png;https://jira.a1qa.com/secure/attachment/2757706/32.png","02/Mar/26 5:47 AM;m.mahmud;Bug_32.mp4;https://jira.a1qa.com/secure/attachment/2757707/Bug_32.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsk0:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Mini Studio Session: Additional Subjects: Value “6” remains unclickable when the cursor hovers over it,QATC-978548,3963866,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 5:34 AM,02/Mar/26 5:34 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: https://photostudio.demohoster.com/
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Select ""SESSIONS""
 # Click ""Book now"" button of Mini Studio Session 
 # Click ""Additional Subjects"" dropdown
 # Hover the cursor over value ""6""

 

*Actual Result:* Value “6” remains unclickable when the cursor hovers over it. Please see [^Bug_31.png]

*Expected Result:* Value “6” should be clickable as user can choose quantity of people for photo session according to the requirements. Please see [^31.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 5:33 AM;m.mahmud;31.png;https://jira.a1qa.com/secure/attachment/2757700/31.png","02/Mar/26 5:31 AM;m.mahmud;Bug_31.png;https://jira.a1qa.com/secure/attachment/2757701/Bug_31.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsio:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Contact: No asterisk (*) appears when viewing the “Firstname” title,QATC-978538,3963853,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 4:17 AM,02/Mar/26 4:17 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT""
 # Observe the “Firstname” title


*Actual Result:* No asterisk (*) appears when viewing the “Firstname” title. Please see [^Bug_30.png]

*Expected Result:* Asterisk (*) should appear as “Firstname” is obligatory according to the requirements. Please see [^30.png]


*Additional Information:* This issue is reproduced in all field titles.","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 4:15 AM;m.mahmud;30.png;https://jira.a1qa.com/secure/attachment/2757692/30.png","02/Mar/26 4:12 AM;m.mahmud;Bug_30.png;https://jira.a1qa.com/secure/attachment/2757693/Bug_30.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpsg0:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Contact: Unfilled ""Lastname"" displays ""Please fill out this field."" instead of ""Lastname is required."" ",QATC-978532,3963846,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 3:59 AM,02/Mar/26 3:59 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT""
 # Leave ""Lastname"" field unfilled
 # Click ""Send message"" button to observe


*Actual Result:* Unfilled ""Lastname"" displays ""Please fill out this field."" instead of ""Lastname is required."" . Please see [^Bug_29.png]

*Expected Result:* ""Lastname is required."" should display as error message according to the requirements. Please see [^29.png]


*Additional Information:* This issue is reproduced in all fields except for ""Firstname"".","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 3:59 AM;m.mahmud;29.png;https://jira.a1qa.com/secure/attachment/2757685/29.png","02/Mar/26 3:57 AM;m.mahmud;Bug_29.png;https://jira.a1qa.com/secure/attachment/2757686/Bug_29.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpseg:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Contact: Field allows ""Email"" input when the address contains no domain",QATC-978526,3963837,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 3:45 AM,02/Mar/26 3:45 AM,04/Mar/26 12:47 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: https://photostudio.demohoster.com/
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT""
 # Input email containing no domain
 # Click ""Send message"" button to observe


*Actual Result:* Field allows ""Email"" input when the address contains no domain. Please see [^Bug_28.mp4]

*Expected Result:* Field should not allow ""Email"" input without domain as it has to be email type according to the requirements. Please see [^28.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 3:44 AM;m.mahmud;28.png;https://jira.a1qa.com/secure/attachment/2757677/28.png","02/Mar/26 1:07 AM;m.mahmud;Bug_28.mp4;https://jira.a1qa.com/secure/attachment/2757678/Bug_28.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpscg:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Contact: ""Lastname"" field is limited to 8 characters",QATC-978413,3963715,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,02/Mar/26 12:08 AM,02/Mar/26 12:08 AM,04/Mar/26 1:42 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT""
 # Input ""Lastname"" containing more than 8 characters


*Actual Result:* ""Lastname"" field is limited to 8 characters. Please see [^Bug_27.png]

*Expected Result:* ""Lastname"" field is limited to 48 characters according to the requirements. Please see [^27.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"02/Mar/26 12:07 AM;m.mahmud;27.png;https://jira.a1qa.com/secure/attachment/2757550/27.png","02/Mar/26 12:02 AM;m.mahmud;Bug_27.png;https://jira.a1qa.com/secure/attachment/2757551/Bug_27.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifprlc:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Contact: No “Firstname is required” message appears when the “Firstname” field is unfilled,QATC-978408,3963710,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,01/Mar/26 11:48 PM,01/Mar/26 11:48 PM,04/Mar/26 12:47 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT""
 # Fill up all fields except for ""Firstname""
 # Click ""Send message"" button to observe

 

*Actual Result:* No “Firstname is required” message appears when the “Firstname” field is unfilled. Please see [^Bug_26.mp4]

*Expected Result:* “Firstname is required” error message should appear when the “Firstname” field is unfilled according to the requirements. Please see [^26.png]","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"01/Mar/26 11:44 PM;m.mahmud;26.png;https://jira.a1qa.com/secure/attachment/2757544/26.png","01/Mar/26 11:39 PM;m.mahmud;Bug_26.mp4;https://jira.a1qa.com/secure/attachment/2757545/Bug_26.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifprk8:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Contact: “Firstname” field accepts input when alphanumeric characters are entered,QATC-978402,3963701,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.mahmud,m.mahmud,01/Mar/26 10:57 PM,01/Mar/26 10:57 PM,04/Mar/26 1:31 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Preconditions:*

Users must log in to the application using their login credentials.

*Steps:*
 # Open the application URL: [https://photostudio.demohoster.com/]
 # Fill up the ""Username"" and ""Password"" field
 # Click the ""Sign in"" button
 # Hover the cursor over ""CONNECT""
 # Select ""CONTACT""
 # Fill up all the necessary fields
 # Click ""Send message"" button"" to observe

 

*Actual Result:* “Firstname” field accepts input when alphanumeric characters are entered. Please see [^Bug_25.mp4]

*Expected Result:*  “Firstname” field should not accept input when alphanumeric characters are entered as only alpha type is allowed as input according to the requirements. Please see [^25.png]


*Additional Information:* This issue is reproduced in all fields except ""Email"".","*OS:* Windows 11 Enterprise, 64-bit

*Browser:* Google Chrome Version 145.0.7632.45 (Official Build) (64-bit)",,,,,,,,,,Leads and Reporter only,"01/Mar/26 10:55 PM;m.mahmud;25.png;https://jira.a1qa.com/secure/attachment/2757537/25.png","01/Mar/26 10:54 PM;m.mahmud;Bug_25.mp4;https://jira.a1qa.com/secure/attachment/2757538/Bug_25.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifpriw:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
